"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"forest","precision",0.624224339188562
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"forest","precision",0.786827708680371
"../scenariosimul/spambase.data",2,"forest","precision",0.925266097533329
"../scenariosimul/cleankdd_train.csv",4,"forest","precision",0.956563661548738
"../scenariosimul/connect-4Train.csv",4,"forest","precision",0.582229235896413
"../scenariosimul/covtype.data",4,"forest","precision",0.653296533640633
"../scenariosimul/HIGGS.csv",4,"forest","precision",0.625410335825676
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"forest","precision",0.624224339188562
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"forest","precision",0.786827708680371
"../scenariosimul/spambase.data",4,"forest","precision",0.925266097533329
"../scenariosimul/cleankdd_train.csv",7,"forest","precision",0.956563661548738
"../scenariosimul/connect-4Train.csv",7,"forest","precision",0.582229235896413
"../scenariosimul/covtype.data",7,"forest","precision",0.653296533640633
"../scenariosimul/HIGGS.csv",7,"forest","precision",0.625410335825676
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"forest","precision",0.624224339188562
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"forest","precision",0.786827708680371
"../scenariosimul/spambase.data",7,"forest","precision",0.925266097533329
"../scenariosimul/cleankdd_train.csv",11,"forest","precision",0.956563661548738
"../scenariosimul/connect-4Train.csv",11,"forest","precision",0.582229235896413
"../scenariosimul/covtype.data",11,"forest","precision",0.653296533640633
"../scenariosimul/HIGGS.csv",11,"forest","precision",0.625410335825676
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"forest","precision",0.624224339188562
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"forest","precision",0.786827708680371
"../scenariosimul/spambase.data",11,"forest","precision",0.925266097533329
"../scenariosimul/cleankdd_train.csv",15,"forest","precision",0.956563661548738
"../scenariosimul/connect-4Train.csv",15,"forest","precision",0.582229235896413
"../scenariosimul/covtype.data",15,"forest","precision",0.653296533640633
"../scenariosimul/HIGGS.csv",15,"forest","precision",0.625410335825676
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"forest","precision",0.624224339188562
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"forest","precision",0.786827708680371
"../scenariosimul/spambase.data",15,"forest","precision",0.925266097533329
"../scenariosimul/cleankdd_train.csv",2,"lda","precision",0.923807149716813
"../scenariosimul/connect-4Train.csv",2,"lda","precision",0.515359027849874
"../scenariosimul/covtype.data",2,"lda","precision",0.614894368260213
"../scenariosimul/HIGGS.csv",2,"lda","precision",0.602821583687727
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"lda","precision",0.527645659797198
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"lda","precision",0.341463794727898
"../scenariosimul/spambase.data",2,"lda","precision",0.883362727988892
"../scenariosimul/cleankdd_train.csv",4,"lda","precision",0.923807149716813
"../scenariosimul/connect-4Train.csv",4,"lda","precision",0.515359027849874
