"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"spambase",4,"lda","precision",0.705275783803011,0.628168755591477,0.692600679204636,0.61052998770006,0.652356770385967,0.706411636320385,0.628168755591477,0.719539791405391,0.61052998770006,0.673285964044908,0.69043095517479,0.626449584484134,0.69246499992341,0.613060079621534,0.650421580864838,0.883362727988892
"connect4",7,"lda","precision",0.475491724126346,0.45218854200275,0.450271592321568,0.440382394661183,0.391725716635528,0.469722000790521,0.45218854200275,0.469837568454611,0.439608149383677,0.453401195803565,0.480713036902429,0.453168083423257,0.475454067272427,0.439189709329623,0.462827734968562,0.923807149716813
"covtype",7,"lda","precision",0.551329889599199,0.432491933209112,0.547407236842926,0.412711773306534,0.41230896634553,0.564085010638683,0.432554996272175,0.509762330418094,0.413023458097833,0.490226517871783,0.551329889599199,0.432137325589444,0.548131827173368,0.412711773306534,0.413238397037112,0.515359027849874
"HIGGS",7,"lda","precision",0.551075397044783,0.553317867440219,0.545121102863203,0.527575894802365,0.524782573124386,0.549977047417364,0.553317867440219,0.545121102863203,0.526094718624133,0.511886276447338,0.548722390055214,0.553317867440219,0.545783244441048,0.527320904557377,0.542862934766383,0.614894368260213
"kdd",7,"lda","precision",0.871379907100047,0.730620553548836,0.872538482657772,0.735055273252383,0.741147049018059,0.863071696330252,0.729988694435363,0.870291312845905,0.735055273252383,0.743650288405713,0.870908757573008,0.729988694435363,0.867256957321834,0.735055273252383,0.861794401870283,0.602821583687727
"simulC2",7,"lda","precision",0.537740088551204,0.534560596743417,0.54943979178716,0.513982394706968,0.513982394706968,0.548336224382178,0.534560596743417,0.561952929748541,0.535095465046025,0.5435415579365,0.584532224608329,0.534560596743417,0.595292787760504,0.526812259089598,0.604206531449431,0.527645659797198
"simulC8",7,"lda","precision",0.421235710219638,0.357347930874495,0.40015022829099,0.249000645010385,0.3987088231125,0.421456489250071,0.357347930874495,0.392233174249932,0.229286733273306,0.432481551395603,0.504792758992586,0.357347930874495,0.481297101857056,0.196163452223212,0.492959801675443,0.341463794727898
"spambase",7,"lda","precision",0.80528833256859,0.670243319249771,0.80116483841942,0.638489425189921,0.687718221909396,0.770050652413601,0.670243319249771,0.79367744399841,0.639976481927509,0.681147749527992,0.723703227542804,0.671817109663791,0.72145931946468,0.638654601077742,0.67952544795116,0.883362727988892
"connect4",11,"lda","precision",0.501778793131637,0.390212886868059,0.483156416993992,0.398129968390425,0.37746872875401,0.516101218206828,0.388357578228705,0.493719122432757,0.399775802837543,0.491736850055866,0.510676600333445,0.388357578228705,0.504676841762737,0.399723464293827,0.494859583267655,0.923807149716813
"covtype",11,"lda","precision",0.578092967836048,0.419108910651966,0.573597644283209,0.42513383426483,0.444525020957136,0.554445399006654,0.419108910651966,0.562084524526065,0.419310774224928,0.453713254699986,0.578092967836048,0.419108910651966,0.57304929798661,0.42513383426483,0.442555618667629,0.515359027849874
"HIGGS",11,"lda","precision",0.542537285241692,0.540345564383116,0.539616732839144,0.529057310135314,0.531437905103558,0.54144118876798,0.540345564383116,0.538066749895964,0.529250928908999,0.520899424287738,0.542765679169268,0.540345564383116,0.545511396403506,0.532086991265268,0.537584667062545,0.614894368260213
"kdd",11,"lda","precision",0.850414402737643,0.738853667024403,0.848764789109601,0.742914593259368,0.789116546824197,0.828635001083706,0.738853667024403,0.827322760633356,0.742914593259368,0.821064936705625,0.832246933189024,0.738416130367512,0.833435283942541,0.742914593259368,0.796647598834824,0.602821583687727
"simulC2",11,"lda","precision",0.534381616840237,0.537664391217797,0.537800456800547,0.533717778905797,0.533717778905797,0.539379722561251,0.537664391217797,0.54173698413482,0.539059893048128,0.527653605166143,0.595720827550621,0.537664391217797,0.590437605962027,0.489490629359374,0.587946152088849,0.527645659797198
